district_id,upozila_id,উপজেলা
43,313,খালিয়াজুড়ি
43,314,দুর্গাপুর
43,315,নেত্রকোণা সদর
43,316,পূর্বধলা
43,317,বারহাট্টা
43,318,মদন
43,319,মোহনগঞ্জ
44,320,ঝিনাইগাতী
44,321,নকলা
44,322,নালিতাবাড়ী
44,323,শেরপুর সদর
44,324,শ্রীবরদী
45,325,উলিপুর
45,326,কুড়িগ্রাম সদর
45,327,চর রাজিবপুর
45,328,চিলমারী
45,329,নাগেশ্বরী
45,330,ফুলবাড়ী
45,331,ভূরুঙ্গামারী
45,332,রাজারহাট
45,333,রৌমারী
46,334,গাইবান্ধা সদর
46,335,সাদুল্লাপুর
46,336,ফুলছড়ি
46,337,গোবিন্দগঞ্জ
46,338,পলাশবাড়ী
46,339,সাঘাটা
46,340,সুন্দরগঞ্জ
47,341,ঠাকুরগাঁও সদর
47,342,বালিয়াডাঙ্গী
47,343,পীরগঞ্জ
47,344,হরিপুর
47,345,রাণীশংকৈল
48,346,দিনাজপুর সদর
48,347,বিরামপুর
48,348,খানসামা
48,349,বীরগঞ্জ
48,350,বোচাগঞ্জ
48,330,ফুলবাড়ী
48,351,চিরিরবন্দর
48,352,ঘোড়াঘাট
48,353,হাকিমপুর
48,354,কাহারোল
48,197,নবাবগঞ্জ
48,355,পার্বতীপুর
48,356,বিরল
49,357,নীলফামারী সদর
49,358,ডোমার
49,359,ডিমলা
49,360,জলঢাকা
49,361,কিশোরগঞ্জ
49,362,সৈয়দপুর
50,363,আটোয়ারী
50,364,তেতুলিয়া
50,365,দেবীগঞ্জ
50,366,পঞ্চগড় সদর
50,367,বোদা
51,368,কাউনিয়া
51,369,গংগাচড়া
51,370,তারাগঞ্জ
51,343,পীরগঞ্জ
51,371,পীরগাছা
51,372,বদরগঞ্জ
51,373,মিঠাপুকুর
51,374,রংপুর সদর
52,375,আদিতমারী
52,20,কালীগঞ্জ
52,376,পাটগ্রাম
52,377,লালমনিরহাট সদর
52,378,হাতীবান্ধা
53,379,চাঁপাইনবাবগঞ্জ সদর
53,380,গোমস্তাপুর
53,381,নাচোল
53,382,ভোলাহাট
53,383,শিবগঞ্জ
54,384,জয়পুরহাট সদর
54,385,আক্কেলপুর
54,386,কালাই
54,387,ক্ষেতলাল
54,388,পাঁচবিবি
55,389,পত্নীতলা
55,390,ধামইরহাট
55,391,মহাদেবপুর
55,392,পোরশা
55,393,সাপাহার
55,394,বদলগাছী
55,395,মান্দা
55,396,নিয়ামতপুর
55,397,আত্রাই
55,398,রাণীনগর
55,399,নওগাঁ সদর
56,400,নাটোর সদর
56,401,বাগাতিপাড়া
56,402,বড়াইগ্রাম
56,403,গুরুদাসপুর
56,404,লালপুর
56,405,সিংড়া
56,406,নলডাঙ্গা
57,407,আটঘরিয়া
57,408,ঈশ্বরদী
57,409,চাটমোহর
57,410,পাবনা সদর
57,411,ফরিদপুর
57,412,বেড়া
57,413,ভাঙ্গুড়া
57,414,সাঁথিয়া
57,415,সুজানগর
58,416,শাজাহানপুর
58,417,আদমদীঘি
58,418,বগুড়া সদর
58,419,ধুনট
58,420,দুপচাঁচিয়া
58,421,গাবতলী
58,422,কাহালু
58,423,নন্দীগ্রাম
58,424,সারিয়াকান্দি
58,425,শেরপুর
58,383,শিবগঞ্জ
58,426,সোনাতলা
59,427,গোদাগাড়ী
59,428,তানোর
59,429,মোহনপুর
59,430,বাগমারা
59,314,দুর্গাপুর
59,431,বাঘা
59,432,চারঘাট
59,433,পবা
59,434,পুঠিয়া
60,435,বেলকুচি
60,436,কামারখন্দ
60,437,চৌহালি
60,438,কাজীপুর
60,439,রায়গঞ্জ
60,440,শাহজাদপুর
60,441,সিরাজগঞ্জ সদর
60,442,তাড়াশ
60,443,উল্লাপাড়া
61,444,বড়লেখা
61,445,কুলাউড়া
61,446,রাজনগর
61,447,কমলগঞ্জ
61,448,শ্রীমঙ্গল
61,449,মৌলভীবাজার সদর
61,450,জুড়ী
62,451,বালাগঞ্জ
62,452,বিয়ানীবাজার
62,453,বিশ্বনাথ
62,119,কোম্পানীগঞ্জ
62,454,ফেঞ্চুগঞ্জ
62,455,গোলাপগঞ্জ
62,456,গোয়াইনঘাট
62,457,জৈন্তাপুর
62,458,কানাইঘাট
62,459,সিলেট সদর
62,460,জকিগঞ্জ
62,461,দক্ষিণ সুরমা
62,462,ওসমানীনগর
63,463,ছাতক
63,464,জগন্নাথপুর
63,465,জামালগঞ্জ
63,466,তাহিরপুর
63,467,দক্ষিণ সুনামগঞ্জ
63,468,দিরাই
63,469,দোয়ারাবাজার
63,470,ধর্মপাশা
63,471,বিশ্বম্ভরপুর
63,472,শাল্লা
63,473,সুনামগঞ্জ সদর
63,474,মধ্যনগর
64,475,আজমিরীগঞ্জ
64,476,চুনারুঘাট
64,477,নবীগঞ্জ
64,478,বানিয়াচং
64,479,বাহুবল
64,480,মাধবপুর
64,481,লাখাই
64,482,শায়েস্তাগঞ্জ
64,483,হবিগঞ্জ সদর
